test_id,initial_state,interactive_consent,fault_or_variant,expected_network_action,expected_final_state,required_assertion
IMG-001,docker_cli_missing,off,none,none,safe_mode,"no image page; no Docker child; all three unavailable"
IMG-002,daemon_unreachable,off,none,none,safe_mode,"bounded daemon check; no pull; localized reason"
IMG-003,all_exact_digests_absent,decline,none,none,safe_mode,"decline is persisted; no Docker process starts"
IMG-004,all_exact_digests_absent,silent,attempted_cli_flag,none,safe_mode,"silent mode grants no consent and cannot invoke manager acquisition"
IMG-005,all_exact_digests_present,accept,none,probe_only,probe_passed,"zero pulls; three exact digest hardened probes"
IMG-006,document_missing_others_present,accept,none,pull_document_only,probe_passed,"one exact digest pull; three probes"
IMG-007,all_exact_digests_absent,accept,none,pull_all_in_order,probe_passed,"three digest pulls and probes; aggregate ready"
IMG-008,wrong_friendly_tag_present,accept,none,pull_exact_digest,probe_passed,"tag never satisfies or changes locked reference"
IMG-009,correct_digest_under_other_tag,accept,none,no_pull_if_exact_digest_resolves,probe_passed,"execution still uses repository@digest"
IMG-010,all_absent,accept,tag_only_manifest,none,failed,"schema rejects before Docker child"
IMG-011,all_absent,accept,wrong_registry_or_owner,none,failed,"allowlist rejects before Docker child"
IMG-012,all_absent,accept,tampered_manifest_hash,none,failed,"payload hash gate rejects before Docker child"
IMG-013,all_absent,accept,wrong_platform_manifest,none,failed,"platform gate rejects before Docker child"
IMG-014,all_absent,accept,insufficient_disk,none,safe_mode,"space gate occurs before first pull"
IMG-015,all_absent,accept,anonymous_ghcr_401,pull_first,safe_mode,"no login/token fallback; categorized report"
IMG-016,all_absent,accept,dns_proxy_or_tls_error,pull_first,safe_mode,"stop later pulls; one localized error; retry requires click"
IMG-017,all_absent,accept,pull_timeout,pull_first,safe_mode,"owned child terminated; timeout true; no later pull"
IMG-018,all_absent,accept,user_cancel,pull_current,safe_mode,"cancelled true; no auto retry or broad cleanup"
IMG-019,all_absent,accept,digest_mismatch_after_pull,pull_current,safe_mode,"mismatch fails; no probe or later network"
IMG-020,all_absent,accept,wrong_os_or_arch_after_pull,pull_current,safe_mode,"platform mismatch fails before probe"
IMG-021,all_absent,accept,first_ok_second_pull_fails,pull_until_second,safe_mode,"first retained/recorded; third unattempted; aggregate not ready"
IMG-022,partial_from_previous_attempt,accept,retry,new_click_only,probe_passed,"reuse exact verified digest; pull only missing; new plan id"
IMG-023,all_present,accept,document_probe_exit_nonzero,probe_only,safe_mode,"record raw output/exit; stop after failed probe"
IMG-024,all_present,accept,probe_timeout,probe_only,safe_mode,"probe child terminated and categorized"
IMG-025,all_present,accept,probe_attempts_network,probe_only,failed,"command contract requires network none"
IMG-026,all_present,accept,probe_missing_hardening_flag,probe_only,failed,"test double rejects unsafe run"
IMG-027,all_absent,accept,unexpected_manager_exception,at_most_current,safe_mode,"outer report exists with exception type and exit 40"
IMG-028,all_absent,accept,credentials_present_in_user_docker_config,pull_all_in_order,probe_passed,"manager does not read/log/change credentials; anonymous VM test uses empty DOCKER_CONFIG"
IMG-029,all_present,accept,toctou_tag_changed,probe_only,probe_passed,"inspect and run immutable digest; record container image id"
IMG-030,all_present,accept,second_run_idempotency,probe_only,probe_passed,"no pull and no configuration/profile/workspace mutation"
