requirement_id,design_or_implementation,verification,gates,primary_evidence
UR-001,"Inno Setup EXE and encapsulated actions","Build test and clean Windows double-click flow","G3;G5","G3/build-report.md;G5/windows-system-results.md"
UR-002,"Component manifest and dependency resolver","16-selection matrix and live smokes","G4;G5","G4/selection-matrix-results.csv;G5/client-smoke-results.md"
UR-003,"Canonical path validation and directory UI","Default override and negative path tests","G4;G5","G4/static-and-unit-results.md;G5/windows-system-results.md"
UR-004,"Runtime configuration UI and defaults","Snapshot and installed-state comparison","G4;G5","G4/static-and-unit-results.md;G5/client-smoke-results.md"
UR-005,"Repository-local build definitions","Clean-checkout build source and SBOM review","G3;G6","G3/artifact-manifest.json;G6/release-review.md"
UR-006,"Native messaging and reconnect launcher","Reboot and browser reconnect E2E","G5","G5/reboot-reconnect.md"
UR-007,"Preview commit transaction and rollback","Before-after diff on cancel and injected failure","G4;G5","G4/selection-matrix-results.csv;G5/windows-system-results.md"
UR-008,"Prerequisite resolver and state model","Clean Windows prerequisite matrix","G1;G2;G3;G4;G5","G1/architecture-review.md;G2/test-plan.md;G4/prerequisite-matrix-results.csv;G5/windows-system-results.md"
UR-009,"Paged installer UI and semantic controls","1366x768 bounds and screenshot matrix","G1;G2;G4;G5","G1/architecture-review.md;G4/ui-layout-and-localization-results.md;G5/ui-acceptance.md"
UR-010,"German and English resource inventory","Missing-key and localized E2E tests","G1;G2;G3;G4;G5","G1/architecture-review.md;G4/ui-layout-and-localization-results.md;G5/ui-acceptance.md"
UR-011,"Explicit prerequisite acquisition","Source contract fault matrix and clean VM","G1;G2;G3;G4;G5","G1/architecture-review.md;G2/test-plan.md;G4/static-and-unit-results.md;G5/windows-system-results.md"
UR-012,"Visible language selection","Language dialog fallback and command-line tests","G3;G4;G5","G4/ui-layout-and-localization-results.md;G5/ui-acceptance.md"
UR-013,"Elevation preserving original user","UAC fault injection and alternate-account VM","G3;G4;G5","G4/prerequisite-matrix-results.csv;G5/windows-system-results.md"
UR-014,"Generated size manifest and UI totals","Manifest totals and low-space VM test","G3;G4;G5","G3/artifact-manifest.json;G4/static-and-unit-results.md;G5/ui-acceptance.md"
UR-015,"GHCR image manifest opt-in acquisition and probes","Source UI fake-Docker anonymous-pull and real workload tests","G1;G2;G3;G4;G5;G6","G1/container-image-design.md;G2/test-plan.md;G3/runtime-images.json;G4/image-acquisition-results.md;G5/windows-system-results.md"
UR-016,"Encapsulated process diagnostics and export","Exitcode exception report and export fault injection","G1;G2;G4;G5","G1/diagnostic-design.md;G2/test-plan.md;G4/diagnostic-fault-results.md;G5/windows-system-results.md"
SR-001,"Single gateway and tool allowlist","Contract tests and client smokes","G4;G5","G4/static-and-unit-results.md;G5/client-smoke-results.md"
SR-002,"Workspace and profile path boundaries","Property tests and UI acceptance","G4;G5","G4/static-and-unit-results.md;G5/windows-system-results.md"
SR-003,"Loopback bridge origin and child policy","Security contracts and browser E2E","G4;G5","G4/static-and-unit-results.md;G5/client-smoke-results.md"
SR-004,"Versioned host schema backup and prepared fallback","Schema matrix and unknown-schema tests","G4;G5","G4/selection-matrix-results.csv;G5/client-smoke-results.md"
SR-005,"Build manifests hashes SBOM and signature state","Two builds and release review","G3;G6","G3/SHA256SUMS;G6/release-review.md"
SR-006,"Payload denylist and log redaction","Secret path scan and manual review","G3;G4;G6","G4/payload-scan.md;G6/release-review.md"
SR-007,"Transactional rollback and owned inventory","Fault injection upgrade repair uninstall","G4;G5","G4/selection-matrix-results.csv;G5/uninstall-upgrade.md"
SR-008,"Docker opt-in and Safe Mode","Missing CLI daemon image UI and filesystem tests","G4;G5","G4/static-and-unit-results.md;G5/windows-system-results.md"
SR-009,"Pinned HTTPS prerequisite acquisition","Source hash and silent-mode negative tests","G3;G4;G5","G3/artifact-manifest.json;G4/static-and-unit-results.md;G5/windows-system-results.md"
SR-010,"Original-user context preservation","Alternate-account filesystem and registry diff","G4;G5","G4/prerequisite-matrix-results.csv;G5/windows-system-results.md"
SR-011,"Digest-pinned reproducible GHCR images","Two-build digest SBOM scan provenance and anonymous pull","G1;G2;G3;G4;G5;G6","G1/threat-review.md;G3/runtime-images.json;G3/image-build-report.md;G4/image-security-results.md;G6/release-review.md"
