test_id,phase,injected_fault,raw_child_exit,expected_wrapper_exit,report_required,export_required,expected_result
DIA-001,preflight,success,0,0,yes,yes,"started true; stdout/stderr captured; ok true"
DIA-002,preflight,child_returns_one,1,1,yes,yes,"exit 1 preserved; existing report path shown"
DIA-003,preflight,foreign_port_owner,20,20,yes,yes,"planned block; no foreign process stopped"
DIA-004,image_manifest,invalid_or_tampered_lock,21,21,yes,yes,"category manifest_invalid; no Docker process"
DIA-005,image_inventory,docker_unavailable,22,22,yes,yes,"category docker_unavailable; Safe Mode"
DIA-006,image_pull,pull_or_digest_failure,23,23,yes,yes,"raw stdout/stderr bounded; no success claim"
DIA-007,image_probe,probe_failure,24,24,yes,yes,"image id/digest and failed probe recorded"
DIA-008,image_pull,user_cancel,130,25,yes,yes,"cancelled true; timed_out false"
DIA-009,image_pull,total_timeout,124,25,yes,yes,"timed_out true; cancelled false"
DIA-010,postflight,hard_postflight_failure,30,30,yes,yes,"rollback attempted; no installation success"
DIA-011,maintenance,unexpected_runtime_exception,none,40,yes,yes,"exception_type and categorized message persisted"
DIA-012,rollback,rollback_incomplete,50,50,yes,yes,"rollback report exists; incomplete state explicit"
DIA-013,any,process_creation_fails,none,40,yes,yes,"started false; exception_type present"
DIA-014,any,stdout_stderr_over_64k,1,1,yes,yes,"each stream capped; truncation flags true"
DIA-015,any,invalid_utf8_and_control_chars,1,1,yes,yes,"replacement/normalization succeeds; valid JSON"
DIA-016,any,token_authorization_cookie_in_output,1,1,yes,yes,"secrets redacted in report and ZIP"
DIA-017,any,absolute_private_paths_in_release_evidence,1,1,yes,yes,"local private report allowed; exported release fixture redacted/scanner pass"
DIA-018,preflight,primary_report_write_fails,1,40,fallback_only,yes,"fallback exists; nonexistent primary path not displayed"
DIA-019,preflight,primary_and_fallback_write_fail,1,40,no,no,"dialog cites existing log directory only and says report unavailable"
DIA-020,any,report_path_traversal_attempt,1,40,yes,no,"export rejects path outside allowlisted roots"
DIA-021,any,duplicate_error_propagation,1,1,yes,yes,"exactly one localized primary dialog for the attempt"
DIA-022,export,active_failure_report_missing,none,40,no,no,"export validation fails and identifies missing mandatory report"
DIA-023,export,optional_report_missing,none,0,no,yes,"index marks missing; remaining allowed files exported"
DIA-024,export,profile_workspace_or_docker_config_candidate,none,0,no,yes,"denylisted file excluded and index records exclusion reason"
